y,x,hue
1435030.11023542,2300,0.08
1419198.75613659,2350,0.08
1387111.78156249,2400,0.08
2.1424111691426E-41,0,0.02
3.05668920046092E-41,50,0.02
8.98377279917795E-40,100,0.02
2.50665829895858E-38,150,0.02
6.78526822643645E-37,200,0.02
1.78110126442552E-35,250,0.02
4.53184194672593E-34,300,0.02
1.1171966049616E-32,350,0.02
2.66714078870609E-31,400,0.02
6.16317300742082E-30,450,0.02
1.37775637547435E-28,500,0.02
2.97785626022713E-27,550,0.02
6.21923250973258E-26,600,0.02
1.25427834453557E-24,650,0.02
2.44106810543424E-23,700,0.02
4.58121305402393E-22,750,0.02
8.28439604057841E-21,800,0.02
1.44232677088862E-19,850,0.02
2.41550012452717E-18,900,0.02
3.88760655274453E-17,950,0.02
6.00690960714107E-16,1000,0.02
8.90107718939175E-15,1050,0.02
1.26342595443109E-13,1100,0.02
1.7156385946584E-12,1150,0.02
2.22576326007573E-11,1200,0.02
2.75465748924641E-10,1250,0.02
3.24708557411064E-09,1300,0.02
3.63911406729563E-08,1350,0.02
3.87025236360443E-07,1400,0.02
3.89769253873473E-06,1450,0.02
3.70841316958485E-05,1500,0.02
0.000332474089192,1550,0.02
0.002800684895452,1600,0.02
0.022095439966032,1650,0.02
0.162662306893626,1700,0.02
1.11278954093348,1750,0.02
7.04063591547941,1800,0.02
40.9720633164492,1850,0.02
217.889871030645,1900,0.02
1050.84130675049,1950,0.02
4554.0228110341,2000,0.02
17536.1537130128,2050,0.02
59168.3134415966,2100,0.02
171857.818163223,2150,0.02
420002.227355964,2200,0.02
838423.644325421,2250,0.02
1317820.09310887,2300,0.02
1577433.16979159,2350,0.02
1485545.58726081,2400,0.02
1397286,2450,0.02
4.71486676227626E-27,0,0.04
6.70639917101234E-27,50,0.04
1.00059847465902E-25,100,0.04
1.38880820316889E-24,150,0.04
1.86982658206026E-23,200,0.04
2.44045842861935E-22,250,0.04
3.08644492280969E-21,300,0.04
3.78056576911288E-20,350,0.04
4.48278602321383E-19,400,0.04
5.14281313207573E-18,450,0.04
5.70518025101253E-17,500,0.04
6.11635859963925E-16,550,0.04
6.33277360111953E-15,600,0.04
6.32815381343684E-14,650,0.04
6.09855950036127E-13,700,0.04
5.66380927073703E-12,750,0.04
5.06479520364028E-11,800,0.04
4.35715004983862E-10,850,0.04
3.60261683857478E-09,900,0.04
2.85999581416451E-08,950,0.04
2.17754574314189E-07,1000,0.04
1.58821290641999E-06,1050,0.04
1.10823653302291E-05,1100,0.04
7.38812007520044E-05,1150,0.04
0.000469845726841,1200,0.04
0.002845628483605,1250,0.04
0.016383838429961,1300,0.04
0.089495625764248,1350,0.04
0.462785684166707,1400,0.04
2.25989169457159,1450,0.04
10.3929517010921,1500,0.04
44.8747084168447,1550,0.04
181.288176427239,1600,0.04
682.536995420717,1650,0.04
2383.96461644289,1700,0.04
7684.27543501787,1750,0.04
22717.1692824231,1800,0.04
61146.8294684572,1850,0.04
148540.402915613,1900,0.04
322201.149602765,1950,0.04
615929.752128639,2000,0.04
1021132.98448042,2050,0.04
1440479.1829927,2100,0.04
1695766.9941649,2150,0.04
1655171.15351916,2200,0.04
1412039.55302044,2250,0.04
1257800.07481771,2300,0.04
1334068.56185595,2350,0.04
1430118.37822262,2400,0.04
1397286,2450,0.04
