frame,x,y,particle
0,789.065467351295,393.468550628551,1
1,794.038789340035,395.976211101449,1
2,777.054862488578,424.678025398765,1
3,769.764310486964,439.01694827926,1
4,770.662549199936,439.863324910402,1
5,760.900196487159,449.315555158713,1
6,750.752151202976,457.138042410847,1
8,738.83278535762,463.562739417251,1
9,748.307723258781,452.094416034919,1
10,731.891101158501,467.187399399986,1
12,730.375967241344,468.968262443578,1
13,724.159828374366,473.110621244015,1
14,725.532588864519,472.783729024812,1
15,719.584791876381,479.199712604096,1
33,719.896063091715,492.397522052906,1
34,713.440791604792,496.139670985696,1
35,712.206460984842,497.317945873153,1
36,705.351200129268,491.829328630727,1
37,705.709051891267,488.495125650905,1
38,708.556402192681,489.726003016237,1
39,708.235004461944,490.103298593714,1
40,696.61424127925,494.103158275616,1
41,690.581588466561,494.060478256045,1
42,689.754651709929,493.978081624966,1
51,692.407493643154,505.537110312499,1
52,691.784123826001,507.044950022516,1
53,653.100827839505,523.939526047555,1
54,616.326966411978,544.546198450761,1
55,633.14095626219,532.690968848094,1
56,614.01130511519,544.538059999417,1
57,587.055604677703,559.197032321955,1
58,570.814133225639,566.900475713108,1
59,569.575565892937,564.85266300158,1
60,587.076424828206,556.839697134926,1
0,351.523118566809,446.61864036408,2
1,344.91283569115,445.906509774908,2
2,344.874320606596,438.589232914488,2
3,352.412324355271,432.77365478702,2
4,349.723943385307,420.828213606755,2
5,350.816744610005,417.177993953214,2
6,345.145803370398,406.823538364085,2
7,344.71573891877,388.875105870616,2
8,345.284567105318,377.523849891996,2
9,347.6622283014,390.447948763054,2
10,350.537765673215,386.856852003465,2
11,346.773352470462,375.935041454696,2
12,348.331186703273,376.160373762088,2
13,347.640282858405,375.642900445948,2
14,353.586273388622,367.063775139741,2
15,350.511766431167,357.351253954766,2
16,347.50903677976,346.808021371814,2
17,352.693623471629,334.368852566919,2
18,354.991130041667,333.080048104268,2
19,360.779882848466,326.34515065628,2
20,372.948115120767,319.223810704054,2
21,375.218946622498,319.755808348326,2
22,372.868716063433,318.522849171309,2
23,382.088070275897,307.470543556081,2
24,384.802889719383,304.976506070368,2
25,385.156371976557,305.643763619506,2
26,388.221976465958,313.698731049272,2
27,394.516230997587,298.061635339717,2
28,412.713663475905,285.117541241604,2
29,435.349261459859,275.10767414525,2
30,441.128524167452,287.379879298314,2
31,432.5048280556,287.491730783869,2
32,445.545332071541,286.397209892829,2
33,454.068720289168,285.698593218363,2
34,451.906866993952,278.597034193297,2
35,455.591402725387,279.800102504372,2
36,471.905589027302,289.987594012941,2
37,476.723379417555,294.383891177738,2
38,480.496486847971,296.072624448529,2
39,497.208468604486,306.193724412202,2
